JUSTIFICACION ;PRODUCTO RELACIONADO;DESCRIPCION
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
GHER ASOCIADOS S.A.S, somos una empresa procesadora y distribuidora de pescados y mariscos con una trayectoria de más de 40 años en el mercado colombiano. Nos caracterizamos por producir y vender alimentos naturales y procesados y por presentarlos en una forma práctica para que nuestros consumidores disfruten de un mar de delicias según su necesidad. Desarrollamos nuestras actividades en la ciudad de Bogotá donde contamos con un establecimiento de comercio bajo el nombre Frigogher. Certificamos que del total de nuestras compras el 92% es decir el valor de $22.758.913.743 son compras de productos como mojarra, bagre y trucha de origen nacional. Con base en la información anterior demostramos nuestra relación con el sector agropecuario nacional como Transformadores.;245280;Acuicultura especies diferente a camarón
GHER ASOCIADOS S.A.S, somos una empresa procesadora y distribuidora de pescados y mariscos con una trayectoria de más de 40 años en el mercado colombiano. Nos caracterizamos por producir y vender alimentos naturales y procesados y por presentarlos en una forma práctica para que nuestros consumidores disfruten de un mar de delicias según su necesidad. Desarrollamos nuestras actividades en la ciudad de Bogotá donde contamos con un establecimiento de comercio bajo el nombre Frigogher. Certificamos que del total de nuestras compras el 92% es decir el valor de $22.758.913.743 son compras de productos como mojarra, bagre y trucha de origen nacional. Con base en la información anterior demostramos nuestra relación con el sector agropecuario nacional como Transformadores.;245280;Acuicultura especies diferente a camarón
LACTO LIFE S.A.S somos una empresa dedicada a la producción de leche bufalina para posteriormente elaborar productos como quesos frescos y madurados, yogurt, entre otros derivados lácteos, para el desarrollo de nuestras actividades contamos con un predio llamado Bufalera Panamericana el cual se encuentra ubicado en el municipio de San Luis Tolima, vereda Calzon Limonar, con una extensión de aproximadamente 92 hectáreas. Para la elaboración de nuestros productos contamos con una planta de producción ubicada en Tocancipá  Cundinamarca, la cual cuenta con tecnología de última generación italiana y ancestral, de esta forma hemos logrado establecernos con mas de dos décadas de experiencia en el mercado nacional. Adicionalmente ofrecemos una línea de cultivos probióticos de uso animal o humano para obtener resultados impecables en la elaboración de los productos lácteos. Con base en la información anterior demostramos nuestra relación 100% con el sector agropecuario nacional.;253100;Ganadería Leche
Somos INVERSIONES LA HERREREÑA SAS, nos dedicamos a la venta y distribución de toda clase de agro insumos necesarios para los cultivos agrícolas y producción pecuaria, nos encontramos ubicados en el municipio de Girón donde contamos con un establecimiento de comercio. Certificamos que del total de nuestras ventas el 97,97% es decir el valor de $10.533.644.838 son ventas al sector agropecuario nacional. Con base en la información anterior demostramos nuestra relación como Servicio de Apoyo al Productor Agropecuario. ;144050;Otros Cultivos
Somos INVERSIONES EURO S.A nos dedicamos a la compra y venta de productos del sector agropecuario nacional como frutas, verduras, huevos, entre otros. Desarrollamos nuestras actividades en el establecimiento de comercio llamado Supermercado Euro y contamos con diferentes tiendas en los departamentos de Antioquia, Atlántico, Córdoba. Certificamos que del total de nuestras compras el 46.26%, es decir el valor de $220.602.566.836, son realizadas al sector agropecuario nacional. Con base en la informaicon anterior demostramos nuestra relacion con el sector agropecuario nacional.;144050;Otros Cultivos
LACTO LIFE S.A.S somos una empresa dedicada a la producción de leche bufalina para posteriormente elaborar productos como quesos frescos y madurados, yogurt, entre otros derivados lácteos, para el desarrollo de nuestras actividades contamos con un predio llamado Bufalera Panamericana el cual se encuentra ubicado en el municipio de San Luis Tolima, vereda Calzon Limonar, con una extensión de aproximadamente 92 hectáreas. Para la elaboración de nuestros productos contamos con una planta de producción ubicada en Tocancipá  Cundinamarca, la cual cuenta con tecnología de última generación italiana y ancestral, de esta forma hemos logrado establecernos con mas de dos décadas de experiencia en el mercado nacional. Adicionalmente ofrecemos una línea de cultivos probióticos de uso animal o humano para obtener resultados impecables en la elaboración de los productos lácteos. Con base en la información anterior demostramos nuestra relación 100% con el sector agropecuario nacional.;253100;Ganadería Leche
LACTO LIFE S.A.S somos una empresa dedicada a la producción de leche bufalina para posteriormente elaborar productos como quesos frescos y madurados, yogurt, entre otros derivados lácteos, para el desarrollo de nuestras actividades contamos con un predio llamado Bufalera Panamericana el cual se encuentra ubicado en el municipio de San Luis Tolima, vereda Calzon Limonar, con una extensión de aproximadamente 92 hectáreas. Para la elaboración de nuestros productos contamos con una planta de producción ubicada en Tocancipá  Cundinamarca, la cual cuenta con tecnología de última generación italiana y ancestral, de esta forma hemos logrado establecernos con mas de dos décadas de experiencia en el mercado nacional. Adicionalmente ofrecemos una línea de cultivos probióticos de uso animal o humano para obtener resultados impecables en la elaboración de los productos lácteos. Con base en la información anterior demostramos nuestra relación 100% con el sector agropecuario nacional.;253100;Ganadería Leche
LACTO LIFE S.A.S somos una empresa dedicada a la producción de leche bufalina para posteriormente elaborar productos como quesos frescos y madurados, yogurt, entre otros derivados lácteos, para el desarrollo de nuestras actividades contamos con un predio llamado Bufalera Panamericana el cual se encuentra ubicado en el municipio de San Luis Tolima, vereda Calzon Limonar, con una extensión de aproximadamente 92 hectáreas. Para la elaboración de nuestros productos contamos con una planta de producción ubicada en Tocancipá  Cundinamarca, la cual cuenta con tecnología de última generación italiana y ancestral, de esta forma hemos logrado establecernos con mas de dos décadas de experiencia en el mercado nacional. Adicionalmente ofrecemos una línea de cultivos probióticos de uso animal o humano para obtener resultados impecables en la elaboración de los productos lácteos. Con base en la información anterior demostramos nuestra relación 100% con el sector agropecuario nacional.;253100;Ganadería Leche
Somos TRANSPORTADORA Y COMERCIALIZADORA EL MOLINO S.A, nos dedicamos a la compra y venta de granos y abarrotes, especialmente maíz amarillo, maíz blanco, y harina de maíz, los cuales se venden posteriormente para la fabricación de alimentos balanceados o para consumo humano, desarrollamos nuestras actividades en el municipio de Itagüí Antioquia. Certificamos que en el año 2022 realizamos compras por un valor de $18.648.681.923 de productos como maíz amarillo, maíz blanco y harina de maíz de origen nacional.;111400;Maíz
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
Somos ELECTROQUIMICA WEST S.A, nos dedicamos a la venta y distribución de agroquímicos necesarios asegurar la sanidad y maximizar la productividad y calidad de los cultivos, así mismo brindamos soluciones para el sector pecuario garantizando calidad de la producción lechera. desarrollamos nuestras actividades en la ciudad de La Estrella Antioquia. Certificamos que del total de nuestras ventas el 25% es decir el valor de $14.644.503.853 son ventas realizadas al sector agropecuario primario. Con base en la información anterior demostramos nuestra relación con el sector agropecuario nacional como Servicio de Apoyo al Productor.;144050;Otros Cultivos
GHER ASOCIADOS S.A.S, somos una empresa procesadora y distribuidora de pescados y mariscos con una trayectoria de más de 40 años en el mercado colombiano. Nos caracterizamos por producir y vender alimentos naturales y procesados y por presentarlos en una forma práctica para que nuestros consumidores disfruten de un mar de delicias según su necesidad. Desarrollamos nuestras actividades en la ciudad de Bogotá donde contamos con un establecimiento de comercio bajo el nombre Frigogher. Certificamos que del total de nuestras compras el 89% es decir el valor de $16.568.740.575 son compras de productos como mojarra, bagre y trucha de origen nacional. Con base en la información anterior demostramos nuestra relación con el sector agropecuario nacional como Transformadores.;245280;Acuicultura especies diferente a camarón
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
Somos PISCICOLA EL CARACOLI SAS, nos dedicamos al cultivo, cría, engorde y reproducción de alevinos, específicamente tilapia plateada y roja, así como la venta y distribución de tilapia tipo exportación. Contamos con mas de 12 años de experiencia en la actividad piscícola desarrollando nuestras actividades en la represa de Betania, departamento del Huila, con alrededor de 8.000 mts2 en espejo de agua. Tenemos reproductores hembras y machos de genética avanzada con el fin de obtener alevinos de alta calidad que permiten una productividad eficiente y competitiva.;245280;Acuicultura especies diferente a camarón
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
GHER ASOCIADOS S.A.S, somos una empresa procesadora y distribuidora de pescados y mariscos con una trayectoria de más de 40 años en el mercado colombiano. Nos caracterizamos por producir y vender alimentos naturales y procesados y por presentarlos en una forma práctica para que nuestros consumidores disfruten de un mar de delicias según su necesidad. Desarrollamos nuestras actividades en la ciudad de Bogotá donde contamos con un establecimiento de comercio bajo el nombre Frigogher. Certificamos que del total de nuestras compras el 89% es decir el valor de $16.568.740.575 son compras de productos como mojarra, bagre y trucha de origen nacional. Con base en la información anterior demostramos nuestra relación con el sector agropecuario nacional como Transformadores.;245280;Acuicultura especies diferente a camarón
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
"Somos INCUBADORA SANTANDER S.A tenemos por objeto social la explotación de la industria o negocio avícola y ganadero en todos sus ramos, tales como la incubación, cría, levante, engorde, ventas, compras, reventa, beneficio, exportación de aves y ganado. Contamos con mas de 50 años de historia en el sector avícola consolidándonos como un líder y desarrollador de la categoría de huevos en Colombia bajo la marca ""Huevos Kikes"". Producimos 4 millones de huevos diarios, lo que nos convierte en el productor #1 de Colombia, con un modelo altamente integrado que va desde la producción del alimento, reproducción de aves, incubación, producción, clasificación y distribución directa a más de 15 ciudades del país. Para el desarrollo de nuestra actividad productiva contamos diferentes predios entre ellos uno llamado Granja Bellavista La Cola, ubicada en el municipio de Los Santos departamento de Santander, el cual tiene una capacidad de encasetamiento de aproximadamente 5.200.000 aves en postura y 1.800.000 aves en levante. Con base en la información anterior demostramos nuestra calidad como Productor Primario.";234100;Avicultura Huevos Comercial
