JUSTIFICACION ;PRODUCTO RELACIONADO;DESCRIPCION
En C.I UNION DE BANANEROS DE URABÁ S.A. - UNIBAN somos una empresa dedicada al suministro de insumos y servicios agropecuarios como lo son la producción de cajas de cartón corrugado para el sector hortofrutícola, embalajes de papel, y fabricación de envases dirigidos a la exportación bananera. Adicional a esto, nos dedicamos a la prestación de servicios de lavado de banano y operaciones logísticas relacionadas con la exportación y conexiones en Europa, Asia, Norte, Centro y Suramérica, también manejamos líneas de producción de snacks y la venta de piña, banano, y plátano, dirigiendo nuestros esfuerzos a la responsabilidad social de forma que fomentemos los proyectos productivos de la región del Urabá Antioqueño. Con base en la información anterior demostramos nuestra relación en un 100% con el sector agropecuario nacional.;141420;Banano
Somos SUCAMPO-SULLANTA S.A.S., una empresa tolimense con más de 60 años de experiencia en el mercado, dedicada al trabajo en el sector agrícola y automotriz, con presencia en otros departamentos de Colombia. Los agroquímicos, fertilizantes y semillas que distribuimos son de la mejor calidad, contribuyen a preservar los recursos y mejoran la calidad de vida. Algunos de nuestros proveedores: Syngenta, Basf, Bayer, Corteva, Adama, FMC, UPL, Yara, Precisagro, Magro, Monómeros, Manuchar, DVA, Gowan, Nufarm, Rotam, Agrocentro, Avgust, Monsanto, Disan. Las alianzas estratégicas que tenemos, nos ha permitido posicionarnos como una empresa líder y multiplicadora hacia los clientes. Dentro de nuestro portafolio contamos con semillas, de arroz y maíz, glifosato, propanil, amina, urea, entre otros.;111200;Arroz secano
Somos GERS S.A.S., nuestra compañía dedicada a la prestación de servicios de consultoría e ingeniería y venta de equipos especializados, se efectúan proyectos para tecnificar el área de negocio de nuestros clientes que propenden a mejores resultados a nivel económico, financiero y calidad de producto. Contamos con más de 35 años de experiencia y de manera conjunta en Colombia, se han creado oportunidades en energías renovables que van desde la Gestión de proyectos, estructuración financiera de proyectos en curso (fases II y III de la UPME), formación posgrado, así como promoción directa y fondeo de capital privado. Certificamos que durante el año 2022, realizamos un promedio de ventas totales anuales por la suma de $24.000.000.000, de las cuales el 1.45% es decir el valor de $350.000.000 son ventas al sector agropecuario nacional a clientes como Cartón de Colombia S.A. y Pollos el Bucanero en prestación de servicios de ingeniería.;234050;Avicultura engorde
En MADERA MODULAR ARQUITECTONICA ATEMKA S.A.S., desde hace más de 30 años en el mercado tenemos por actividad principal la fabricación, diseño e instalación de piezas modulares, acabados arquitectónicos y derivados, para lo cual realizamos procesos de corte, secado de madera maciza, transformación y montaje de los productos en obra para diferentes sectores. Certificamos que del total de nuestras compras por valor de $2.115.638.000, el 70%, es decir el valor de $1.480.946.600 son compras de maderas al sector agropecuario nacional.;151150;Bosques
"Somos ATEHORTUA Y QUIMICOS S.A.S una empresa que se dedica a la distribución y venta de insumos químicos, fertilizantes, plásticos y caucho para aplicaciones en el sector agrícola. Contamos con líneas de nutrición animal, fertilizantes, alimentos, solventes y otras industrias; en estas venden productos como: Aceite Mineral Blanco USP, Azufre Malla 100, Azufre Malla 400, Acido Borico Polvo, Acido Cítrico Anhidro, Fosfato Monoamonico (MAP), Bicarbonato de Sodio, Vaselina USP, entre otros, Certificamos que durante el año 2022 realizamos un promedio de ventas totales anuales por la suma de $ 25.341.903.148, de las cuales el 73.99 %, es decir el valor de $ 18.750.278.094 son ventas al sector agropecuario nacional ";144050;Otros Cultivos
En IMPORTAREX S.A.S. constituida en el año 2004, tenemos por objeto social la distribución de todo tipo de equipos y repuestos para maquinaria agrícola, automotriz, industrial, médica, minera y de petróleos, alimenticia, eléctrica y de construcción, especialmente a ingenios como Ingenio Pichichi, Manuelita, Ingenio Risaralda, Ingenio de Occidente, Ingenio Carmelita, Ingenio María Luisa, entre otros. Certificamos que del total de nuestras ventas en el año 2022 por valor de $10.495.857.700, el 26%, es decir $2.690.236.304 son ventas al sector agroindustrial nacional.;141090;Caña de Azúcar
Somos ANTIOQUEÑA DE PORCINOS S.A.S, una empresa colombiana fundada en 1999, ubicada en San Antonio de Prado, corregimiento de Medellín, dedicada a la producción, procesamiento y venta de cerdos y ganados, carnes y derivados, así como insumos, concentrados, drogas, pie de cría, entre otros. Nos hemos convertido a través de los años en referente a nivel nacional en el mercado de la carne de cerdo y sus derivados, con productos nutritivos y saludables bajo la marca Porcicarnes los cuales son vendidos por medio de negocios mayoristas y minoristas. Con base a la información anterior demostramos nuestra relación con el sector agropecuario nacional.;245100;Porcinos
Somos FINMARK LABORATORIES S.A.S. - FINLAB S.A., nuestra compañía esta dedicada a la elaboración de vacunas y productos biotecnológicos, para mejorar el bienestar, la producción y la salud animal. Contamos con un amplio portafolio de productos para sectores como avicultor y ganadero apoyando de esta manera el desarrollo productivo en el país como: CORYBAC, MIXIBAC, PASMUBAC GALLIBACTERIUM, SALMOBAC, TRYBAC para el sector avicola y TRYBAC, CLOS-T-BAC, CLOVET, NEUMOBAC, POLYBAC para el sector ganadero entre otros. Certificamos que durante el año 2022, realizó un promedio de ventas totales anuales por la suma de $6.375.630.285 de las cuales el 100%, son ventas al  sector agropecuario nacional.;253400;Ganadería Cría y Doble Propósito
Somos REPRESENTACIONES DE FONINA S.A.S. desde hace 13 años, somos una empresa dedicada a la venta y distribución de productos de aseo e implementos de seguridad y bioseguridad como guantes, overoles, botas, mascarillas, entre otros que son utilizados para la cosecha de cultivos. Certificamos que durante el año 2021 realizamos ventas por valor de $6.693.954.000 de las cuales el 15%, es decir el valor de $1.004.093.100 fueron ventas al sector agropecuario nacional especialmente a productores de leche, porcicultores, entre otros, por lo cual nos clasificamos como un servicio de apoyo a la producción primaria.;253100;Ganadería Leche
En COMPAÑÍA DE VIGILANCIA Y SEGURIDAD PRIVADA VIVAC LIMITADA VIVAC SEGURIDAD - VIVAC SEGURIDAD nos dedicamos a la vigilancia fija y de escoltas ubicada en la ciudad de Santa Marta. Hemos sido parte de la cadena del comercio nacional e internacional en la región. vinculada a la protección de la producción agropeciaria. Nuestra organización ha prestado servicios a compañías exportadoras de frutas, carbón y otras mercancías. Hacemos presencia en compañías comerciales, en el sector agrícola, educativo, construcción, salud y sector público, diseñando procesos y esquemas de protección para áreas de almacenamiento, plantas de producción, transporte terrestre, zonas perimetrales y controles de acceso, garantizando mediante un eficiente servicio, cadenas íntegras, clientes satisfechos y negocios seguros. Certificamos que del total de las ventas durante elaño 2022 por $20.120 millones, el 15% es decir el valor de $3.099 millones son ventas a bananeros en sus procesos de siembra y recolección.;141420;Banano
Somos SUPERMERCADO LA GRAN COLOMBIA S.A., una compañía creada en 1987,  dedicada al procesamiento y conservación de productos cárnicos, frutas y verduras, granos, pescados, nuestra cadena de supermercados ubicados en varios lugares de la ciudad de Cali, y más concretamente en el oriente y sur occidente. Nos hemos especializado en atender los estratos más populares de la ciudad, es así como nos localizamos en el amplio Distrito de Agua Blanca donde tenemos el grueso de los negocios. Certificamosque durante el 2021 realizamos un total de compras por la suma de $203.080.037.251 de las cuales el 53.48 %, es decir el valor de $108.601.496.684, son compras de sector  agropecuario primarios de carnes, Fruver, granos y pescado etc. Algunos de nuestros proveedores son RED CARNICAS S.A.S, AVIDESA DE OCCIDENTE S.A, POLLOS BUCANEROS S.A, DIANA COPRPORACION S.A.S entre otros. ;253400;Ganadería Cría y Doble Propósito
Somos AIRES MODERNOS S.A.S., llevamos más de 10 años de experiencia en el mercado, nos dedicamos a la venta de equipos electrodomésticos, gasodomésticos de uso doméstico como: muebles equipas de iluminación, refrigeración, aires acondicionados y servicio de mantenimiento y reparación de equipos en establecimientos especializados. Desarrollamos nuestras actividades en la ciudad de Cali y certificamos que durante el año 2022 realizamos un promedio de ventas totales anuales por la suma de $6.063.023.000 de las cuales el 9,5%, es decir el valar de S 575.987,100 son ventas al sector agropecuario nacional a clientes avícolas para ambientes controlados. ;234100;Avicultura Huevos Comercial
Somos BIOFLUIDOS & FARMA S.A.S. nuestra compañía esta dedicada desde el año 2005 a la manufactura y venta de medicamentos estériles, no estériles, antibióticos, sólidos, oftálmicos, suplementos dietarios, entre otros de uso humano y veterinario, contando en nuestro portafolio con productos tales como MIKOMAX 200 MG TABLETAS, QUINOCALF 25 MG TABLETAS, GALGOCAL 600 MG TABLETAS, ENERGAN 50, DESCENSOR VET 200 MG TABLETAS, etc. Certificamos que durante el año 2022 realizamos un total de ventas por la suma de $295.420.937 al sector agropecuario nacional.;253400;Ganadería Cría y Doble Propósito
Somos OXI-NORTE S.A.S., nuestra compañía esta dedicada a la importación, venta y distribución de productos de ferretería encargada de proveer a la industria metalmecánica del país, aceros inoxidables de la más alta calidad, contamos más de cinco años en el mercado, tiempo en el cual nos hemos destacado por ser una de las empresas líderes en la comercialización e importación de materias primas para el sector industrial. Ofrecemos productos como: tejas metálicas, tejas de zinc, grapas, tornillería, entre otros. Certificamos que durante el 2022 realizamos unas ventas totales anuales por la suma de $9.321.975.621, de las cuales el 8%, es decir el valor de $745.758.050 son ventas al sector agropecuario nacional, a clientes como Pamilcultores del Norte S.A.S., Avinsa, entre otros. ;144050;Otros Cultivos
Somos INDUSTRIAS Y LOGISTICA JL S.A.S nuestra compañía está dedicada al almacenamiento, depósito y manipulación de carga como maíz Nacional y productos afines, contamos con más de 5 años en el mercado y desarrollamos nuestra actividad económica en el municipio de Cali (Valle del Cauca). Certificamos que, durante el año 2022, realizamos un promedio de ventas totales anuales por la suma de$ 2.190.881.109, de las cuales el 14,7 %, es decir el valor de$ 322.059.523 son ventas al sector agropecuario nacional de: maíz, entre otros.;111400;Maíz
